iter	Passed	Remaining
0	133	133537
1	135	67478
2	137	45584
3	140	34978
4	142	28278
5	143	23799
6	145	20612
7	146	18211
8	148	16336
9	149	14838
10	154	13888
11	156	12881
12	157	11993
13	159	11229
14	160	10570
15	162	10006
16	163	9478
17	165	9004
18	166	8611
19	170	8362
20	172	8047
21	174	7744
22	176	7515
23	178	7256
24	180	7023
25	187	7040
26	191	6890
27	192	6691
28	194	6503
29	195	6327
30	201	6293
31	202	6138
32	204	5994
33	218	6206
34	220	6078
35	222	5946
36	223	5821
37	225	5703
38	226	5592
39	230	5538
40	233	5462
41	235	5362
42	237	5278
43	238	5188
44	240	5109
45	244	5069
46	250	5072
47	269	5343
48	271	5262
49	272	5186
50	276	5137
51	278	5074
52	280	5018
53	282	4951
54	284	4882
55	285	4815
56	287	4751
57	289	4694
58	293	4677
59	294	4619
60	296	4562
61	297	4507
62	315	4689
63	317	4638
64	318	4586
65	327	4634
66	329	4582
67	331	4539
68	332	4485
69	333	4434
70	334	4383
71	341	4397
72	342	4350
73	344	4307
74	345	4262
75	346	4215
76	347	4168
77	348	4123
78	349	4079
79	351	4037
80	356	4043
81	358	4008
82	358	3962
83	360	3927
84	361	3890
85	362	3857
86	364	3825
87	365	3792
88	373	3821
89	375	3792
90	376	3761
91	378	3732
92	379	3702
93	381	3674
94	387	3689
95	389	3663
96	390	3637
97	392	3613
98	394	3588
99	395	3563
100	397	3539
101	403	3550
102	404	3525
103	406	3503
104	409	3493
105	411	3470
106	414	3460
107	418	3455
108	420	3433
109	421	3411
110	423	3389
111	424	3367
112	426	3345
113	427	3323
114	429	3306
115	442	3370
116	443	3346
117	445	3327
118	455	3371
119	457	3356
120	459	3335
121	460	3310
122	462	3296
123	465	3291
124	467	3270
125	468	3249
126	469	3226
127	470	3205
128	471	3184
129	472	3163
130	474	3144
131	475	3127
132	481	3141
133	483	3126
134	487	3122
135	489	3107
136	491	3093
137	496	3099
138	497	3084
139	499	3068
140	500	3051
141	501	3031
142	503	3015
143	504	3000
144	506	2984
145	508	2973
146	511	2967
147	512	2953
148	514	2938
149	516	2924
150	518	2916
151	521	2906
152	522	2894
153	528	2904
154	530	2891
155	532	2881
156	535	2876
157	537	2864
158	543	2872
159	544	2860
160	545	2844
161	547	2833
162	549	2822
163	551	2812
164	553	2800
165	555	2791
166	558	2784
167	563	2791
168	565	2780
169	567	2768
170	568	2757
171	570	2745
172	579	2772
173	581	2762
174	583	2751
175	586	2746
176	588	2734
177	589	2723
178	597	2740
179	599	2729
180	603	2732
181	611	2749
182	613	2738
183	616	2734
184	618	2724
185	619	2712
186	620	2699
187	622	2687
188	626	2687
189	627	2676
190	629	2665
191	630	2654
192	631	2642
193	633	2630
194	634	2619
195	635	2607
196	636	2595
197	640	2595
198	643	2591
199	645	2581
200	646	2571
201	648	2561
202	649	2551
203	651	2541
204	657	2549
205	658	2539
206	661	2535
207	663	2525
208	664	2516
209	666	2507
210	668	2498
211	673	2503
212	675	2494
213	677	2489
214	679	2480
215	681	2472
216	682	2462
217	686	2464
218	688	2455
219	690	2447
220	691	2438
221	694	2432
222	695	2424
223	697	2415
224	699	2411
225	703	2409
226	706	2405
227	708	2400
228	710	2392
229	713	2388
230	716	2385
231	718	2377
232	719	2369
233	722	2364
234	723	2356
235	725	2347
236	732	2356
237	733	2348
238	735	2340
239	736	2332
240	738	2324
241	739	2316
242	741	2308
243	746	2312
244	748	2306
245	750	2299
246	751	2291
247	752	2283
248	754	2274
249	755	2265
250	756	2257
251	761	2259
252	762	2251
253	763	2243
254	765	2235
255	766	2227
256	767	2218
257	769	2212
258	770	2204
259	771	2196
260	776	2198
261	778	2192
262	779	2185
263	781	2178
264	782	2171
265	784	2164
266	785	2157
267	787	2150
268	793	2154
269	794	2148
270	796	2142
271	798	2135
272	799	2129
273	801	2122
274	802	2115
275	808	2121
276	810	2115
277	811	2108
278	813	2102
279	815	2096
280	816	2090
281	818	2083
282	824	2088
283	825	2082
284	827	2075
285	828	2069
286	830	2062
287	831	2056
288	833	2050
289	835	2046
290	839	2045
291	841	2039
292	842	2033
293	844	2027
294	845	2020
295	847	2014
296	848	2009
297	854	2012
298	856	2006
299	857	2001
300	859	1995
301	860	1989
302	862	1984
303	864	1978
304	865	1972
305	872	1977
306	876	1977
307	879	1975
308	887	1985
309	889	1980
310	902	1999
311	904	1995
312	906	1990
313	908	1985
314	910	1980
315	912	1975
316	918	1979
317	920	1975
318	922	1969
319	924	1963
320	925	1957
321	926	1951
322	928	1945
323	933	1948
324	942	1956
325	943	1951
326	949	1953
327	950	1948
328	952	1943
329	954	1937
330	957	1935
331	959	1930
332	963	1929
333	966	1926
334	967	1920
335	969	1915
336	971	1910
337	972	1905
338	975	1901
339	988	1918
340	989	1912
341	991	1907
342	993	1903
343	996	1900
344	998	1896
345	1000	1890
346	1001	1885
347	1003	1879
348	1004	1873
349	1006	1868
350	1009	1866
351	1012	1863
352	1014	1858
353	1015	1853
354	1017	1848
355	1018	1842
356	1028	1853
357	1030	1848
358	1032	1843
359	1033	1837
360	1035	1832
361	1036	1827
362	1038	1821
363	1044	1824
364	1045	1819
365	1047	1814
366	1049	1810
367	1052	1806
368	1055	1804
369	1060	1805
370	1061	1800
371	1063	1795
372	1064	1790
373	1066	1784
374	1077	1795
375	1079	1790
376	1080	1785
377	1082	1780
378	1083	1775
379	1085	1770
380	1092	1774
381	1094	1770
382	1097	1768
383	1100	1765
384	1103	1763
385	1106	1759
386	1107	1754
387	1109	1749
388	1110	1744
389	1112	1739
390	1113	1734
391	1115	1729
392	1137	1756
393	1139	1752
394	1140	1747
395	1143	1744
396	1145	1739
397	1146	1734
398	1169	1762
399	1171	1757
400	1175	1755
401	1201	1787
402	1212	1795
403	1213	1790
404	1219	1792
405	1221	1787
406	1223	1782
407	1224	1776
408	1226	1771
409	1227	1766
410	1229	1761
411	1234	1762
412	1236	1757
413	1238	1752
414	1240	1748
415	1241	1743
416	1243	1738
417	1245	1733
418	1267	1757
419	1269	1752
420	1271	1749
421	1273	1743
422	1274	1738
423	1276	1734
424	1282	1735
425	1284	1730
426	1285	1725
427	1287	1720
428	1289	1716
429	1290	1711
430	1292	1705
431	1297	1705
432	1299	1701
433	1301	1696
434	1302	1692
435	1304	1687
436	1325	1707
437	1330	1707
438	1332	1702
439	1333	1697
440	1335	1692
441	1337	1688
442	1338	1683
443	1340	1678
444	1342	1674
445	1346	1672
446	1348	1667
447	1349	1663
448	1351	1658
449	1353	1653
450	1354	1649
451	1356	1645
452	1367	1651
453	1369	1646
454	1370	1641
455	1372	1637
456	1376	1635
457	1378	1631
458	1379	1626
459	1383	1623
460	1384	1619
461	1386	1614
462	1395	1618
463	1397	1614
464	1399	1610
465	1401	1605
466	1403	1601
467	1432	1628
468	1434	1623
469	1435	1618
470	1438	1616
471	1440	1611
472	1442	1607
473	1444	1603
474	1446	1598
475	1447	1593
476	1450	1590
477	1455	1589
478	1456	1584
479	1458	1579
480	1460	1575
481	1461	1570
482	1463	1566
483	1496	1595
484	1497	1590
485	1500	1587
486	1502	1583
487	1504	1578
488	1506	1573
489	1507	1569
490	1509	1564
491	1510	1560
492	1512	1555
493	1516	1553
494	1518	1549
495	1520	1544
496	1521	1540
497	1523	1536
498	1525	1531
499	1527	1527
500	1532	1526
501	1535	1522
502	1536	1518
503	1538	1514
504	1540	1510
505	1543	1507
506	1550	1507
507	1551	1503
508	1553	1498
509	1555	1494
510	1556	1489
511	1558	1485
512	1559	1480
513	1561	1476
514	1563	1472
515	1565	1468
516	1566	1463
517	1589	1478
518	1590	1474
519	1596	1473
520	1599	1470
521	1601	1466
522	1602	1461
523	1604	1457
524	1606	1453
525	1608	1449
526	1610	1445
527	1611	1441
528	1613	1436
529	1628	1443
530	1629	1439
531	1631	1435
532	1633	1431
533	1634	1426
534	1639	1425
535	1642	1421
536	1644	1417
537	1647	1414
538	1649	1410
539	1656	1411
540	1658	1407
541	1661	1404
542	1663	1400
543	1665	1395
544	1690	1411
545	1691	1406
546	1693	1402
547	1695	1398
548	1697	1394
549	1708	1398
550	1710	1393
551	1712	1389
552	1713	1385
553	1716	1382
554	1721	1380
555	1724	1376
556	1725	1372
557	1727	1368
558	1769	1395
559	1770	1391
560	1772	1387
561	1774	1383
562	1776	1378
563	1777	1374
564	1780	1370
565	1783	1367
566	1785	1363
567	1787	1359
568	1788	1354
569	1789	1350
570	1791	1345
571	1792	1341
572	1794	1337
573	1799	1335
574	1801	1331
575	1819	1339
576	1820	1334
577	1822	1330
578	1823	1326
579	1825	1322
580	1830	1320
581	1832	1316
582	1835	1312
583	1836	1308
